기준년월,시군구,평균소득월액
2020-12,서울특별시종로구,1478370
2020-12,서울특별시중구,1477152
2020-12,서울특별시용산구,1561618
2020-12,서울특별시성동구,1501888
2020-12,서울특별시광진구,1392985
2020-12,서울특별시동대문구,1412818
2020-12,서울특별시중랑구,1339162
2020-12,서울특별시성북구,1422939
2020-12,서울특별시강북구,1325157
2020-12,서울특별시도봉구,1367087
2020-12,서울특별시노원구,1404400
2020-12,서울특별시은평구,1365685
2020-12,서울특별시서대문구,1422298
2020-12,서울특별시마포구,1471247
2020-12,서울특별시양천구,1462698
2020-12,서울특별시강서구,1401657
2020-12,서울특별시구로구,1446291
2020-12,서울특별시금천구,1392652
2020-12,서울특별시영등포구,1475609
2020-12,서울특별시동작구,1430801
2020-12,서울특별시관악구,1359196
2020-12,서울특별시서초구,1687237
2020-12,서울특별시강남구,1715492
2020-12,서울특별시송파구,1523161
2020-12,서울특별시강동구,1430521
2020-12,부산광역시중구,1253756
2020-12,부산광역시서구,1323441
2020-12,부산광역시동구,1283602
2020-12,부산광역시영도구,1294675
2020-12,부산광역시부산진구,1351015
2020-12,부산광역시동래구,1390461
2020-12,부산광역시남구,1338353
2020-12,부산광역시북구,1351214
2020-12,부산광역시해운대구,1373724
2020-12,부산광역시사하구,1318275
2020-12,부산광역시금정구,1368654
2020-12,부산광역시강서구,1417665
2020-12,부산광역시연제구,1356344
2020-12,부산광역시수영구,1330976
2020-12,부산광역시사상구,1361177
2020-12,부산광역시기장군,1302053
2020-12,대구광역시중구,1377564
2020-12,대구광역시동구,1334487
2020-12,대구광역시서구,1292327
2020-12,대구광역시남구,1288360
2020-12,대구광역시북구,1383503
2020-12,대구광역시수성구,1446929
2020-12,대구광역시달서구,1393783
2020-12,대구광역시달성군,1346023
2020-12,대구광역시군위군,1246562
2020-12,인천광역시중구,1374571
2020-12,인천광역시동구,1316497
2020-12,인천광역시남구,1477938
2020-12,인천광역시미추홀구,1311135
2020-12,인천광역시연수구,1467853
2020-12,인천광역시남동구,1350139
2020-12,인천광역시부평구,1360556
2020-12,인천광역시계양구,1360047
2020-12,인천광역시서구,1415419
2020-12,인천광역시강화군,1393697
2020-12,인천광역시옹진군,1451183
2020-12,광주광역시동구,1316719
2020-12,광주광역시서구,1333936
2020-12,광주광역시남구,1298110
2020-12,광주광역시북구,1299689
2020-12,광주광역시광산구,1305498
2020-12,대전광역시동구,1300995
2020-12,대전광역시중구,1314132
2020-12,대전광역시서구,1347554
2020-12,대전광역시유성구,1396918
2020-12,대전광역시대덕구,1325642
2020-12,울산광역시중구,1345982
2020-12,울산광역시남구,1388871
2020-12,울산광역시동구,1271454
2020-12,울산광역시북구,1358138
2020-12,울산광역시울주군,1367538
2020-12,세종특별자치시,1391724
2020-12,경기도수원시,1398100
2020-12,경기도성남시,1448425
2020-12,경기도의정부시,1337043
2020-12,경기도안양시,1438953
2020-12,경기도부천시,1382704
2020-12,경기도광명시,1419033
2020-12,경기도평택시,1377229
2020-12,경기도동두천시,1326332
2020-12,경기도안산시,1377174
2020-12,경기도고양시,1393526
2020-12,경기도과천시,1593782
2020-12,경기도구리시,1397670
2020-12,경기도남양주시,1420532
2020-12,경기도오산시,1404291
2020-12,경기도시흥시,1429350
2020-12,경기도군포시,1423986
2020-12,경기도의왕시,1480770
2020-12,경기도하남시,1492724
2020-12,경기도용인시,1487742
2020-12,경기도파주시,1394077
2020-12,경기도이천시,1429623
2020-12,경기도안성시,1357580
2020-12,경기도김포시,1475200
2020-12,경기도화성시,1447904
2020-12,경기도광주시,1449935
2020-12,경기도양주시,1348607
2020-12,경기도포천시,1406317
2020-12,경기도여주시,1389764
2020-12,경기도연천군,1311204
2020-12,경기도가평군,1345649
2020-12,경기도양평군,1418326
2020-12,강원특별자치도춘천시,1344776
2020-12,강원특별자치도원주시,1340267
2020-12,강원특별자치도강릉시,1301478
2020-12,강원특별자치도동해시,1328781
2020-12,강원특별자치도태백시,1275222
2020-12,강원특별자치도속초시,1396316
2020-12,강원특별자치도삼척시,1287516
2020-12,강원특별자치도홍천군,1352303
2020-12,강원특별자치도횡성군,1297638
2020-12,강원특별자치도영월군,1305400
2020-12,강원특별자치도평창군,1288085
2020-12,강원특별자치도정선군,1274915
2020-12,강원특별자치도철원군,1371908
2020-12,강원특별자치도화천군,1301463
2020-12,강원특별자치도양구군,1261382
2020-12,강원특별자치도인제군,1358025
2020-12,강원특별자치도고성군,1322519
2020-12,강원특별자치도양양군,1328079
2020-12,충청북도청주시,1377478
2020-12,충청북도충주시,1315430
2020-12,충청북도제천시,1308937
2020-12,충청북도보은군,1266598
2020-12,충청북도옥천군,1310301
2020-12,충청북도영동군,1265198
2020-12,충청북도증평군,1360871
2020-12,충청북도진천군,1445321
2020-12,충청북도괴산군,1270915
2020-12,충청북도음성군,1403695
2020-12,충청북도단양군,1228187
2020-12,충청남도천안시,1391815
2020-12,충청남도공주시,1308027
2020-12,충청남도보령시,1360770
2020-12,충청남도아산시,1396825
2020-12,충청남도서산시,1356117
2020-12,충청남도논산시,1293057
2020-12,충청남도계룡시,1336678
2020-12,충청남도당진시,1416169
2020-12,충청남도금산군,1264249
2020-12,충청남도부여군,1239892
2020-12,충청남도서천군,1404063
2020-12,충청남도청양군,1262090
2020-12,충청남도홍성군,1351451
2020-12,충청남도예산군,1295523
2020-12,충청남도태안군,1347159
2020-12,전북특별자치도전주시,1327502
2020-12,전북특별자치도군산시,1314396
2020-12,전북특별자치도익산시,1291566
2020-12,전북특별자치도정읍시,1238974
2020-12,전북특별자치도남원시,1212327
2020-12,전북특별자치도김제시,1226019
2020-12,전북특별자치도완주군,1246222
2020-12,전북특별자치도진안군,1203791
2020-12,전북특별자치도무주군,1234062
2020-12,전북특별자치도장수군,1171422
2020-12,전북특별자치도임실군,1213517
2020-12,전북특별자치도순창군,1174495
2020-12,전북특별자치도고창군,1234466
2020-12,전북특별자치도부안군,1223059
2020-12,전라남도목포시,1225373
2020-12,전라남도여수시,1356779
2020-12,전라남도순천시,1350604
2020-12,전라남도나주시,1253537
2020-12,전라남도광양시,1353205
2020-12,전라남도담양군,1238177
2020-12,전라남도곡성군,1219522
2020-12,전라남도구례군,1202030
2020-12,전라남도고흥군,1199923
2020-12,전라남도보성군,1213797
2020-12,전라남도화순군,1255947
2020-12,전라남도장흥군,1245969
2020-12,전라남도강진군,1202093
2020-12,전라남도해남군,1263268
2020-12,전라남도영암군,1175818
2020-12,전라남도무안군,1218996
2020-12,전라남도함평군,1228881
2020-12,전라남도영광군,1247019
2020-12,전라남도장성군,1245721
2020-12,전라남도완도군,1279213
2020-12,전라남도진도군,1235852
2020-12,전라남도신안군,1204162
2020-12,경상북도포항시,1336529
2020-12,경상북도경주시,1307857
2020-12,경상북도김천시,1263107
2020-12,경상북도안동시,1287211
2020-12,경상북도구미시,1325385
2020-12,경상북도영주시,1264903
2020-12,경상북도영천시,1257634
2020-12,경상북도상주시,1249830
2020-12,경상북도문경시,1256147
2020-12,경상북도경산시,1313123
2020-12,경상북도의성군,1189327
2020-12,경상북도청송군,1173152
2020-12,경상북도영양군,1164554
2020-12,경상북도영덕군,1303371
2020-12,경상북도청도군,1208030
2020-12,경상북도고령군,1292069
2020-12,경상북도성주군,1246318
2020-12,경상북도칠곡군,1315705
2020-12,경상북도예천군,1286017
2020-12,경상북도봉화군,1212665
2020-12,경상북도울진군,1423951
2020-12,경상북도울릉군,1414190
2020-12,경상남도창원시,1318576
2020-12,경상남도진주시,1305007
2020-12,경상남도통영시,1314952
2020-12,경상남도사천시,1279846
2020-12,경상남도김해시,1352951
2020-12,경상남도밀양시,1235244
2020-12,경상남도거제시,1280071
2020-12,경상남도양산시,1330174
2020-12,경상남도의령군,1254593
2020-12,경상남도함안군,1331616
2020-12,경상남도창녕군,1253484
2020-12,경상남도고성군,1225111
2020-12,경상남도남해군,1231287
2020-12,경상남도하동군,1253029
2020-12,경상남도산청군,1241397
2020-12,경상남도함양군,1253137
2020-12,경상남도거창군,1265216
2020-12,경상남도합천군,1237973
2020-12,제주특별자치도제주시,1345542
2020-12,제주특별자치도서귀포시,1323777
2021-12,서울특별시종로구,1495060
2021-12,서울특별시중구,1510626
2021-12,서울특별시용산구,1566339
2021-12,서울특별시성동구,1523531
2021-12,서울특별시광진구,1408562
2021-12,서울특별시동대문구,1427403
2021-12,서울특별시중랑구,1362749
2021-12,서울특별시성북구,1439345
2021-12,서울특별시강북구,1350391
2021-12,서울특별시도봉구,1405548
2021-12,서울특별시노원구,1439226
2021-12,서울특별시은평구,1386610
2021-12,서울특별시서대문구,1432178
2021-12,서울특별시마포구,1472280
2021-12,서울특별시양천구,1490376
2021-12,서울특별시강서구,1425675
2021-12,서울특별시구로구,1436198
2021-12,서울특별시금천구,1384886
2021-12,서울특별시영등포구,1504307
2021-12,서울특별시동작구,1471592
2021-12,서울특별시관악구,1354302
2021-12,서울특별시서초구,1715370
2021-12,서울특별시강남구,1736456
2021-12,서울특별시송파구,1552388
2021-12,서울특별시강동구,1461381
2021-12,부산광역시중구,1263464
2021-12,부산광역시서구,1339071
2021-12,부산광역시동구,1307194
2021-12,부산광역시영도구,1316455
2021-12,부산광역시부산진구,1370118
2021-12,부산광역시동래구,1414657
2021-12,부산광역시남구,1364652
2021-12,부산광역시북구,1374059
2021-12,부산광역시해운대구,1413784
2021-12,부산광역시사하구,1336243
2021-12,부산광역시금정구,1390834
2021-12,부산광역시강서구,1443559
2021-12,부산광역시연제구,1375724
2021-12,부산광역시수영구,1364232
2021-12,부산광역시사상구,1380932
2021-12,부산광역시기장군,1343746
2021-12,대구광역시중구,1424350
2021-12,대구광역시동구,1368895
2021-12,대구광역시서구,1330292
2021-12,대구광역시남구,1340345
2021-12,대구광역시북구,1411980
2021-12,대구광역시수성구,1494299
2021-12,대구광역시달서구,1422191
2021-12,대구광역시달성군,1383484
2021-12,대구광역시군위군,1275396
2021-12,인천광역시중구,1384748
2021-12,인천광역시동구,1330855
2021-12,인천광역시남구,1356500
2021-12,인천광역시미추홀구,1322443
2021-12,인천광역시연수구,1508455
2021-12,인천광역시남동구,1376029
2021-12,인천광역시부평구,1376429
2021-12,인천광역시계양구,1379073
2021-12,인천광역시서구,1438307
2021-12,인천광역시강화군,1437892
2021-12,인천광역시옹진군,1500897
2021-12,광주광역시동구,1353582
2021-12,광주광역시서구,1377090
2021-12,광주광역시남구,1334042
2021-12,광주광역시북구,1336531
2021-12,광주광역시광산구,1350362
2021-12,대전광역시동구,1334725
2021-12,대전광역시중구,1359873
2021-12,대전광역시서구,1375997
2021-12,대전광역시유성구,1433491
2021-12,대전광역시대덕구,1355045
2021-12,울산광역시중구,1348640
2021-12,울산광역시남구,1411219
2021-12,울산광역시동구,1287726
2021-12,울산광역시북구,1362258
2021-12,울산광역시울주군,1398548
2021-12,세종특별자치시,1442994
2021-12,경기도수원시,1422356
2021-12,경기도성남시,1490741
2021-12,경기도의정부시,1352308
2021-12,경기도안양시,1459881
2021-12,경기도부천시,1392220
2021-12,경기도광명시,1455978
2021-12,경기도평택시,1417502
2021-12,경기도동두천시,1330818
2021-12,경기도안산시,1398068
2021-12,경기도고양시,1429299
2021-12,경기도과천시,1631034
2021-12,경기도구리시,1420057
2021-12,경기도남양주시,1442788
2021-12,경기도오산시,1434254
2021-12,경기도시흥시,1477311
2021-12,경기도군포시,1449296
2021-12,경기도의왕시,1503400
2021-12,경기도하남시,1532599
2021-12,경기도용인시,1522214
2021-12,경기도파주시,1419529
2021-12,경기도이천시,1455201
2021-12,경기도안성시,1399260
2021-12,경기도김포시,1510663
2021-12,경기도화성시,1483688
2021-12,경기도광주시,1460725
2021-12,경기도양주시,1381058
2021-12,경기도포천시,1435286
2021-12,경기도여주시,1415653
2021-12,경기도연천군,1338251
2021-12,경기도가평군,1410398
2021-12,경기도양평군,1444153
2021-12,강원특별자치도춘천시,1387636
2021-12,강원특별자치도원주시,1373677
2021-12,강원특별자치도강릉시,1333791
2021-12,강원특별자치도동해시,1351184
2021-12,강원특별자치도태백시,1294939
2021-12,강원특별자치도속초시,1465982
2021-12,강원특별자치도삼척시,1301183
2021-12,강원특별자치도홍천군,1386372
2021-12,강원특별자치도횡성군,1344013
2021-12,강원특별자치도영월군,1318412
2021-12,강원특별자치도평창군,1322068
2021-12,강원특별자치도정선군,1300184
2021-12,강원특별자치도철원군,1388242
2021-12,강원특별자치도화천군,1381875
2021-12,강원특별자치도양구군,1288623
2021-12,강원특별자치도인제군,1391607
2021-12,강원특별자치도고성군,1394097
2021-12,강원특별자치도양양군,1372000
2021-12,충청북도청주시,1394001
2021-12,충청북도충주시,1357326
2021-12,충청북도제천시,1362871
2021-12,충청북도보은군,1284549
2021-12,충청북도옥천군,1361563
2021-12,충청북도영동군,1288501
2021-12,충청북도증평군,1391584
2021-12,충청북도진천군,1486529
2021-12,충청북도괴산군,1303955
2021-12,충청북도음성군,1458397
2021-12,충청북도단양군,1283628
2021-12,충청남도천안시,1407882
2021-12,충청남도공주시,1351716
2021-12,충청남도보령시,1397940
2021-12,충청남도아산시,1433163
2021-12,충청남도서산시,1392694
2021-12,충청남도논산시,1328623
2021-12,충청남도계룡시,1363547
2021-12,충청남도당진시,1444456
2021-12,충청남도금산군,1320521
2021-12,충청남도부여군,1262242
2021-12,충청남도서천군,1423927
2021-12,충청남도청양군,1291631
2021-12,충청남도홍성군,1389454
2021-12,충청남도예산군,1329243
2021-12,충청남도태안군,1416702
2021-12,전북특별자치도전주시,1367266
2021-12,전북특별자치도군산시,1341380
2021-12,전북특별자치도익산시,1317597
2021-12,전북특별자치도정읍시,1282897
2021-12,전북특별자치도남원시,1250173
2021-12,전북특별자치도김제시,1266789
2021-12,전북특별자치도완주군,1288520
2021-12,전북특별자치도진안군,1201993
2021-12,전북특별자치도무주군,1269737
2021-12,전북특별자치도장수군,1206927
2021-12,전북특별자치도임실군,1229772
2021-12,전북특별자치도순창군,1217767
2021-12,전북특별자치도고창군,1269574
2021-12,전북특별자치도부안군,1264074
2021-12,전라남도목포시,1247699
2021-12,전라남도여수시,1416109
2021-12,전라남도순천시,1378619
2021-12,전라남도나주시,1279147
2021-12,전라남도광양시,1394382
2021-12,전라남도담양군,1282783
2021-12,전라남도곡성군,1268069
2021-12,전라남도구례군,1218518
2021-12,전라남도고흥군,1231336
2021-12,전라남도보성군,1250040
2021-12,전라남도화순군,1303064
2021-12,전라남도장흥군,1274388
2021-12,전라남도강진군,1248268
2021-12,전라남도해남군,1297916
2021-12,전라남도영암군,1220126
2021-12,전라남도무안군,1260628
2021-12,전라남도함평군,1263025
2021-12,전라남도영광군,1290638
2021-12,전라남도장성군,1277917
2021-12,전라남도완도군,1304497
2021-12,전라남도진도군,1273846
2021-12,전라남도신안군,1255261
2021-12,경상북도포항시,1372353
2021-12,경상북도경주시,1340273
2021-12,경상북도김천시,1297702
2021-12,경상북도안동시,1334208
2021-12,경상북도구미시,1349934
2021-12,경상북도영주시,1299066
2021-12,경상북도영천시,1304345
2021-12,경상북도상주시,1282647
2021-12,경상북도문경시,1294532
2021-12,경상북도경산시,1346409
2021-12,경상북도의성군,1201207
2021-12,경상북도청송군,1211504
2021-12,경상북도영양군,1221423
2021-12,경상북도영덕군,1340965
2021-12,경상북도청도군,1238469
2021-12,경상북도고령군,1315902
2021-12,경상북도성주군,1283257
2021-12,경상북도칠곡군,1352144
2021-12,경상북도예천군,1336032
2021-12,경상북도봉화군,1218485
2021-12,경상북도울진군,1457691
2021-12,경상북도울릉군,1485426
2021-12,경상남도창원시,1343817
2021-12,경상남도진주시,1339128
2021-12,경상남도통영시,1333907
2021-12,경상남도사천시,1321228
2021-12,경상남도김해시,1381130
2021-12,경상남도밀양시,1261051
2021-12,경상남도거제시,1272386
2021-12,경상남도양산시,1365127
2021-12,경상남도의령군,1277006
2021-12,경상남도함안군,1359923
2021-12,경상남도창녕군,1286235
2021-12,경상남도고성군,1239811
2021-12,경상남도남해군,1255676
2021-12,경상남도하동군,1285912
2021-12,경상남도산청군,1269596
2021-12,경상남도함양군,1265493
2021-12,경상남도거창군,1301606
2021-12,경상남도합천군,1287646
2021-12,제주특별자치도제주시,1368049
2021-12,제주특별자치도서귀포시,1343801
2022-12,서울특별시종로구,1526707
2022-12,서울특별시중구,1536870
2022-12,서울특별시용산구,1572700
2022-12,서울특별시성동구,1552734
2022-12,서울특별시광진구,1421645
2022-12,서울특별시동대문구,1435662
2022-12,서울특별시중랑구,1376197
2022-12,서울특별시성북구,1447906
2022-12,서울특별시강북구,1347283
2022-12,서울특별시도봉구,1394288
2022-12,서울특별시노원구,1442010
2022-12,서울특별시은평구,1434620
2022-12,서울특별시서대문구,1437513
2022-12,서울특별시마포구,1495740
2022-12,서울특별시양천구,1505570
2022-12,서울특별시강서구,1445660
2022-12,서울특별시구로구,1457633
2022-12,서울특별시금천구,1402001
2022-12,서울특별시영등포구,1516641
2022-12,서울특별시동작구,1479766
2022-12,서울특별시관악구,1362936
2022-12,서울특별시서초구,1717516
2022-12,서울특별시강남구,1755734
2022-12,서울특별시송파구,1576077
2022-12,서울특별시강동구,1476084
2022-12,부산광역시중구,1278878
2022-12,부산광역시서구,1367466
2022-12,부산광역시동구,1333015
2022-12,부산광역시영도구,1327515
2022-12,부산광역시부산진구,1372999
2022-12,부산광역시동래구,1423973
2022-12,부산광역시남구,1371161
2022-12,부산광역시북구,1384492
2022-12,부산광역시해운대구,1427440
2022-12,부산광역시사하구,1361132
2022-12,부산광역시금정구,1386542
2022-12,부산광역시강서구,1446032
2022-12,부산광역시연제구,1381502
2022-12,부산광역시수영구,1373992
2022-12,부산광역시사상구,1394787
2022-12,부산광역시기장군,1362655
2022-12,대구광역시중구,1431430
2022-12,대구광역시동구,1386249
2022-12,대구광역시서구,1337708
2022-12,대구광역시남구,1350983
2022-12,대구광역시북구,1422342
2022-12,대구광역시수성구,1498650
2022-12,대구광역시달서구,1433367
2022-12,대구광역시달성군,1403177
2022-12,대구광역시군위군,1304982
2022-12,인천광역시중구,1422100
2022-12,인천광역시동구,1366162
2022-12,인천광역시남구,1534467
2022-12,인천광역시미추홀구,1348916
2022-12,인천광역시연수구,1528926
2022-12,인천광역시남동구,1391665
2022-12,인천광역시부평구,1401947
2022-12,인천광역시계양구,1392166
2022-12,인천광역시서구,1459575
2022-12,인천광역시강화군,1480579
2022-12,인천광역시옹진군,1550090
2022-12,광주광역시동구,1387301
2022-12,광주광역시서구,1379566
2022-12,광주광역시남구,1353340
2022-12,광주광역시북구,1353060
2022-12,광주광역시광산구,1355418
2022-12,대전광역시동구,1370436
2022-12,대전광역시중구,1384812
2022-12,대전광역시서구,1391979
2022-12,대전광역시유성구,1440554
2022-12,대전광역시대덕구,1370195
2022-12,울산광역시중구,1321355
2022-12,울산광역시남구,1413351
2022-12,울산광역시동구,1280099
2022-12,울산광역시북구,1348776
2022-12,울산광역시울주군,1411779
2022-12,세종특별자치시,1468147
2022-12,경기도수원시,1434219
2022-12,경기도성남시,1508098
2022-12,경기도의정부시,1372711
2022-12,경기도안양시,1487352
2022-12,경기도부천시,1423171
2022-12,경기도광명시,1486789
2022-12,경기도평택시,1443226
2022-12,경기도동두천시,1355110
2022-12,경기도안산시,1422538
2022-12,경기도고양시,1456426
2022-12,경기도과천시,1620634
2022-12,경기도구리시,1439288
2022-12,경기도남양주시,1461476
2022-12,경기도오산시,1446516
2022-12,경기도시흥시,1522234
2022-12,경기도군포시,1475710
2022-12,경기도의왕시,1536927
2022-12,경기도하남시,1536904
2022-12,경기도용인시,1533724
2022-12,경기도파주시,1440161
2022-12,경기도이천시,1493446
2022-12,경기도안성시,1423732
2022-12,경기도김포시,1533598
2022-12,경기도화성시,1512190
2022-12,경기도광주시,1474804
2022-12,경기도양주시,1409966
2022-12,경기도포천시,1476450
2022-12,경기도여주시,1453950
2022-12,경기도연천군,1369616
2022-12,경기도가평군,1434380
2022-12,경기도양평군,1479987
2022-12,강원특별자치도춘천시,1382591
2022-12,강원특별자치도원주시,1395111
2022-12,강원특별자치도강릉시,1358314
2022-12,강원특별자치도동해시,1358157
2022-12,강원특별자치도태백시,1335825
2022-12,강원특별자치도속초시,1483475
2022-12,강원특별자치도삼척시,1334788
